Source,Target,Weight
MOSSADOR,TYRION,2
OLENNA,OLYVAR,2
OLYVAR,TOMMEN,2
QUICK,TYRION,2
ROBIN,ROYCE,2
STANNIS,STEFFON,2
STRONG,TYRION,2
THIN_MAN,WAIF,2
MERYN,MOUNTAIN,2
JON,SANSA,230
ARYA,LADY_CRANE,64
DAVOS,TORMUND,57
HOUND,RAY,41
DAVOS,SANSA,47
BRYNDEN,JAIME,35
DAENERYS,KHAL_MORO,34
RAMSAY,SMALLJON,34
HIGH_SPARROW,JAIME,33
BRIENNE,BRYNDEN,32
EDMURE,JAIME,31
JON,RAMSAY,30
BENJEN,BRAN,29
JON,LYANNA_MORMONT,30
SANSA,TORMUND,27
OSHA,RAMSAY,23
CAMELLO,LADY_CRANE,21
GREY_WORM,VARYS,35
MARGAERY,SEPTA_UNELLA,21
JAIME,WALDER,19
JON,ROBETT,27
DAENERYS,YARA,21
BALON,EURON,17
DAVOS,LYANNA_MORMONT,20
EURON,YARA,36
BIANCA,LADY_CRANE,16
BOBONO,LADY_CRANE,16
EURON,THEON,34
IZEMBARO,LADY_CRANE,16
MISSANDEI,VARYS,37
TYRION,YEZZAN,16
BLACK_WALDER,WALDER,15
DAENERYS,LHAZAREEN_WOMAN,15
DAENERYS,THEON,22
GILLY,MELESSA,15
KINVARA,TYRION,15
BLACK_WALDER,JAIME,14
VALA,VARYS,14
BIANCA,IZEMBARO,13
JAIME,LOTHAR,13
JON,WUN_WUN,13
MAESTER_CITADEL,SAM,13
ARTHUR,NED,12
BENJEN,MEERA,12
BRAN,NIGHT_KING,14
LYANNA_MORMONT,SANSA,19
MAESTER_WOLKAN,RAMSAY,12
MELESSA,TALLA,12
MELISANDRE,TORMUND,12
TORMUND,WUN_WUN,12
CLARENZO,LADY_CRANE,11
DICKON,SAM,13
DOLOROUS_EDD,SANSA,11
JOFFREY,LADY_CRANE,11
LEM,RAY,11
MELESSA,RANDYLL,11
NED,THREE_EYED_RAVEN,11
RAMSAY,SON_OFWALDA,11
ARYA,BIANCA,10
BIANCA,BOBONO,10
BOBONO,CLARENZO,10
BRIENNE,JON,19
GREY_WORM,YEZZAN,10
MELISANDRE,SANSA,10
RAZDAL,TYRION,10
SON_OFWALDA,WALDA,10
AERON,YARA,9
ARYA,IZEMBARO,9
BOBONO,IZEMBARO,9
BRIENNE,DOLOROUS_EDD,9
BRIENNE,TORMUND,15
CLARENZO,IZEMBARO,9
DAVOS,WUN_WUN,9
ELLARIA,OLENNA,12
GATINS,HOUND,9
AERON,EURON,8
BENJEN,LYANNA,8
BIANCA,CLARENZO,8
DAENERYS,DOSH_KHALEEN_LEADER,8
DAVOS,RAMSAY,8
DOSH_KHALEEN_LEADER,LHAZAREEN_WOMAN,8
GILLY,TALLA,8
HIGH_SPARROW,LANCEL,8
JON,LITTLEFINGER,28
JON,SMALLJON,8
KINVARA,VARYS,8
QYBURN,TOMMEN,8
RAMSAY,RICKARD_KARSTARK,8
RAMSAY,TORMUND,8
SAM,TALLA,8
BELICHO,TYRION,7
BENJEN,THREE_EYED_RAVEN,7
BOBONO,CAMELLO,7
EDMURE,GUARD_CAPTAIN,7
GLOVER,JON,7
GREY_WORM,RAZDAL,7
KEVAN,OLENNA,7
LYANNA_MORMONT,MAESTER_MORMONT,7
MEERA,NIGHT_KING,7
MISSANDEI,RAZDAL,7
MISSANDEI,YEZZAN,7
NYMERIA,TRYSTANE,7
OBARA,OLENNA,7
OLENNA,SEPTA_UNELLA,7
RAZDAL,YEZZAN,7
ROBETT,SANSA,14
ROBIN,YOHN_ROYCE,7
ALLISER_THORNE,BOWEN_MARSH,6
ARTHUR_CHILD,QYBURN,6
ARYA,CLARENZO,6
BELICHO,RAZDAL,6
BOWEN_MARSH,JON,6
BRAN,LYANNA,13
BRYNDEN,GUARD_CAPTAIN,6
BRYNDEN,PODRICK,6
BRYNDEN,SANSA,6
CAMELLO,CLARENZO,6
CAMELLO,IZEMBARO,6
CERSEI,LADY_CRANE,6
DAENERYS,RAZDAL,6
DAVOS,SMALLJON,6
HIGH_SPARROW,MACE,6
HOUND,LEM,6
LADY_CRANE,SANSA,6
LANCEL,MARGAERY,6
LEAF,NIGHT_KING,6
OBARA,TRYSTANE,6
RICKON,SMALLJON,6
SMALLJON,TORMUND,6
TYRION,YARA,9
ARYA,BOBONO,5
ARYA,CAMELLO,5
BELICHO,GREY_WORM,5
BELICHO,MISSANDEI,5
BELICHO,YEZZAN,5
BLACK_WALDER,BRONN,5
BOBONO,JOFFREY,5
BRIENNE,THEON,8
CLARENZO,JOFFREY,5
CLARENZO,TYRION,5
DAENERYS,KINVARA,5
DAVOS,LITTLEFINGER,9
DIM_DALBA,JON,5
DOM,VARYS,5
DORAN,MAESTER_DORNE,5
DROGO,KHAL_MORO,5
JON,MAESTER_MORMONT,5
LADY_CRANE,TYRION,5
LITTLE_SAM,MELESSA,5
MAESTER_MORMONT,SANSA,5
NIGHT_KING,THREE_EYED_RAVEN,5
PODRICK,THEON,7
RAMSAY,WUN_WUN,5
RANDYLL,TALLA,5
RICKARD_KARSTARK,SMALLJON,5
SANSA,WUN_WUN,5
AERON,BALON,4
AERON,THEON,4
ARTHUR,HOWLAND,4
BIANCA,CAMELLO,4
BIANCA,JOFFREY,4
BIANCA,SANSA,4
BOBONO,SANSA,4
BOBONO,TYRION,4
BOBONO,TYWIN,4
BOWEN_MARSH,DAVOS,4
BOWEN_MARSH,DOLOROUS_EDD,4
BOWEN_MARSH,MELISANDRE,4
BOWEN_MARSH,OLLY,4
BOWEN_MARSH,OTHELL_YARWICK,4
BOWEN_MARSH,TORMUND,4
BRONN,LOTHAR,4
CERSEI,CLARENZO,4
CLARENZO,SANSA,4
DAARIO,LHAZAREEN_WOMAN,4
DAENERYS,YEZZAN,4
DAVOS,MAESTER_MORMONT,4
DICKON,GILLY,4
DIM_DALBA,TORMUND,4
DOLOROUS_EDD,PODRICK,4
GILLY,MAESTER_CITADEL,4
GLOVER,MANDERLY,4
HARALD,RAMSAY,4
HODOR,LYANNA,4
HODOR,NIGHT_KING,4
HOWLAND,NED,4
JAIME,SON_OF_EDMURE,4
JON,MANDERLY,4
JON,PODRICK,9
KEVAN,MARGAERY,4
LITTLEFINGER,TORMUND,7
LYANNA_MORMONT,ROBB,4
MAESTER_WOLKAN,MYRANDA,4
MAESTER_WOLKAN,RICKARD_KARSTARK,4
NYMERIA,OLENNA,4
PODRICK,TORMUND,8
RED_PRIEST,TYRION,4
SANSA,SMALLJON,4
ALLISER_THORNE,MELISANDRE,3
ALLISER_THORNE,OTHELL_YARWICK,3
ALLISER_THORNE,WUN_WUN,3
ARTHUR,BRAN,3
ARTHUR,THREE_EYED_RAVEN,3
BENJEN,HODOR,3
BERIC,LEM,3
BIANCA,CERSEI,3
BIANCA,NED,3
BIANCA,TYRION,3
BOBONO,CERSEI,3
BOBONO,NED,3
BRONN,EDMURE,3
CERSEI,IZEMBARO,3
CLARENZO,MARGAERY,3
DAENERYS,RED_PRIEST,3
DAVOS,GLOVER,3
DAVOS,HARALD,3
DICKON,RANDYLL,28
DIM_DALBA,WUN_WUN,3
DOLOROUS_EDD,WUN_WUN,3
DOM,VALA,3
GLOVER,SANSA,3
HARALD,JON,3
HARALD,SANSA,3
HARALD,SMALLJON,3
HARALD,TORMUND,3
HIGH_SPARROW,KEVAN,3
HOWLAND,THREE_EYED_RAVEN,3
IZEMBARO,JOFFREY,3
IZEMBARO,NED,3
IZEMBARO,TYWIN,3
JON,OTHELL_YARWICK,3
JORAH,LHAZAREEN_WOMAN,3
KEVAN,LORAS,3
KEVAN,MACE,3
LEM,THOROS,3
LITTLE_SAM,TALLA,3
LYANNA,THREE_EYED_RAVEN,3
LYANNA_MORMONT,RAMSAY,3
LYANNA_MORMONT,TORMUND,5
MANDERLY,ROBB,3
NED,OLD_NAN,3
NED,RAMSAY,3
OLENNA,TYENE,3
RAZDAL,VARYS,3
RED_PRIEST,VARYS,3
ROBB,ROBETT,3
ROOSE_BOLTON,SMALLJON,3
SMALLJON,WUN_WUN,3
AREO,MAESTER_DORNE,2
ARYA,RICKON,2
BELICHO,DAENERYS,2
BELICHO,VARYS,2
BENJEN,RODRIK,2
BIANCA,MARGAERY,2
BOBONO,MARGAERY,2
BOWEN_MARSH,OTHELL_YARWYCK,2
BRAN,HOWLAND,2
BRAN,JAQEN,2
BRONN,BRYNDEN,2
BRONN,WALDER,2
BRYNDEN,MINISA,2
CAMELLO,NED,2
CAMELLO,SANSA,2
CAMELLO,TYRION,2
CERSEI,SON_OF_EDMURE,2
CLARENZO,ROBERT,2
DAARIO,DOSH_KHALEEN_LEADER,2
DAARIO,KHAL_MORO,2
DAENERYS,VALA,2
DAVOS,DIM_DALBA,2
DAVOS,OTHELL_YARWICK,2
DAVOS,RICKON,2
DAVOS,ROBETT,4
DICKON,MELESSA,2
DICKON,TALLA,2
DIM_DALBA,SANSA,2
DOLOROUS_EDD,OTHELL_YARWICK,2
DOSH_KHALEEN_LEADER,JORAH,2
EDMURE,HOSTER,2
EDMURE,SON_OF_EDMURE,2
ELLARIA,MAESTER_DORNE,2
FLYNN,LEM,2
FLYNN,MORGAN,2
FLYNN,RAY,2
GLOVER,ROBB,2
GLOVER,ROBETT,2
GREY_WORM,THEON,6
GREY_WORM,YARA,4
HARALD,LYANNA_MORMONT,2
HODOR,OLD_NAN,2
IZEMBARO,ROBERT,2
IZEMBARO,SANSA,2
IZEMBARO,TYRION,2
JORAH,KHAL_MORO,2
LADY_CRANE,MARGAERY,2
LADY_CRANE,ROBERT,2
LADY_CRANE,TYWIN,2
LADY_CRANE,WAIF,2
LANCEL,MACE,2
LANCEL,QYBURN,2
LANCEL,SEPTA_UNELLA,2
LEM,MORGAN,2
LITTLE_SAM,RANDYLL,2
LITTLEFINGER,SMALLJON,2
LITTLEFINGER,WUN_WUN,2
LYANNA_MORMONT,MANDERLY,2
LYANNA_MORMONT,SMALLJON,2
MAESTER_DORNE,TYENE,2
MEERA,OLD_NAN,2
MELISANDRE,OTHELL_YARWICK,2
MELISANDRE,PODRICK,2
MELISANDRE,RAMSAY,2
MISSANDEI,THEON,12
MISSANDEI,YARA,4
MORGAN,RAY,2
NED,ROBETT,2
OLD_NAN,THREE_EYED_RAVEN,2
OLLY,OTHELL_YARWICK,2
OSHA,SMALLJON,2
OTHELL_YARWICK,TORMUND,2
QYBURN,VARYS,2
RICKON,WUN_WUN,2
VARYS,YARA,4
VARYS,YEZZAN,2
AERYS,OLENNA,2
BALERION,CERSEI,2
BRAN,BRIENNE,2
BRAN,PODRICK,2
BRIENNE,EURON,2
BRIENNE,JORAH,2
BRIENNE,QHONO,2
BRIENNE,VARYS,2
BRONN,GREY_WORM,2
BRONN,JORAH,2
BRONN,THEON,2
CERSEI,NIGHT_KING,2
CERSEI,YARA,2
DAENERYS,GENDRY,2
DAENERYS,LITTLEFINGER,2
DAENERYS,MOUNTAIN,2
DAENERYS,QYBURN,2
DAENERYS,TYWIN,2
DAVOS,GREY_WORM,2
DAVOS,MOUNTAIN,2
DAVOS,QYBURN,2
DAVOS,YOHN_ROYCE,2
DICKON,OLENNA,2
DROGO,JON,2
ELLARIA,GREY_WORM,2
ELLARIA,MISSANDEI,2
EURON,HOUND,2
GREY_WORM,JAIME,2
GREY_WORM,JON,2
GREY_WORM,MELISANDRE,2
GREY_WORM,OLENNA,2
HIGH_SEPTON,SAM,2
HOT_PIE,JON,2
HOUND,MISSANDEI,2
HOUND,QHONO,2
HOUND,WHITE_WALKER,2
HOWLAND,MEERA,2
JON,WHITE_WALKER,2
JON_ARRYN,SANSA,2
JORAH,PODRICK,2
JORAH,WHITE_WALKER,2
LYANNA_MORMONT,PODRICK,2
MARWYN,ROBERT,2
MARWYN,SHIREEN,2
MARWYN,WOLKAN,2
MELISANDRE,MISSANDEI,2
MISSANDEI,OLENNA,2
MOUNTAIN,MYRCELLA,2
MOUNTAIN,RANDYLL,2
NIGHT_KING,TYRION,2
NYMERIA,THEON,2
OBARA,THEON,2
OLENNA,THEON,2
OLENNA,YARA,2
PODRICK,QHONO,2
PODRICK,ROBETT,2
PODRICK,YOHN_ROYCE,2
QHONO,TYRION,2
QYBURN,RANDYLL,2
QYBURN,THEON,2
ROBERT,SAM,2
ROBETT,TORMUND,2
TORMUND,WHITE_WALKER,2
TORMUND,YOHN_ROYCE,2
AEGON,DAENERYS,3
AERYS,VARYS,3
ALYS,JON,3
ARYA,LYANNA_MORMONT,3
BALERION,QYBURN,3
BERIC,DAVOS,3
BRAN,DAENERYS,3
BRAN,YOHN_ROYCE,3
BRIENNE,MOUNTAIN,3
BRIENNE,QYBURN,3
BRONN,DAVOS,3
BRONN,JON,3
DAENERYS,ELLARIA,3
DAVOS,EURON,3
DAVOS,JAIME,3
DAVOS,NIGHT_KING,3
HARRAG,YARA,3
HOUND,QYBURN,3
LITTLEFINGER,MEERA,3
MOUNTAIN,THEON,3
THEON,TYENE,3
ARYA,ROBETT,4
BERIC,DAENERYS,4
BRAN,DOLOROUS_EDD,4
BRAN,RHAEGAR,4
BRIENNE,LYANNA_MORMONT,4
BRIENNE,ROBETT,4
BRIENNE,YOHN_ROYCE,4
CERSEI,THEON,4
DAVOS,PODRICK,4
DICKON,TYRION,4
DOLOROUS_EDD,MEERA,4
EURON,NYMERIA,4
EURON,OBARA,4
EURON,QYBURN,4
GENDRY,TYRION,4
HOUND,THEON,4
JEOR,JORAH,4
JON,LYANNA,4
JON,NED_UMBER,4
JON,QYBURN,4
JORAH,NIGHT_KING,4
LITTLEFINGER,LYANNA_MORMONT,4
MELISANDRE,TYRION,4
MOUNTAIN,TYENE,4
NYMERIA,YARA,4
OBARA,YARA,4
OLENNA,RANDYLL,4
QYBURN,TYRION,4
WOLKAN,YOHN_ROYCE,4
AERYS,JON,5
ALYS,NED_UMBER,5
ARYA,WOLKAN,5
DAENERYS,TORMUND,5
DAVOS,HOUND,5
ELLARIA,EURON,5
EURON,JON,5
HOUND,NIGHT_KING,5
JON,MOUNTAIN,5
JON,WOLKAN,5
JON,YOHN_ROYCE,5
QYBURN,TYENE,5
ARYA,YOHN_ROYCE,6
CERSEI,RANDYLL,6
DAENERYS,HOUND,6
ELLARIA,QYBURN,6
EURON,TYENE,6
LITTLEFINGER,ROBETT,6
LYANNA_MORMONT,YOHN_ROYCE,6
NIGHT_KING,TORMUND,6
TYENE,YARA,6
BRAN,WOLKAN,7
DAENERYS,EURON,7
JORAH,THEON,7
LYANNA,RHAEGAR,7
RANDYLL,TYRION,7
BERIC,NIGHT_KING,8
BRONN,DAENERYS,8
BRONN,RANDYLL,8
ELLARIA,THEON,8
EURON,TYRION,8
ROBETT,YOHN_ROYCE,8
EURON,MOUNTAIN,9
DAENERYS,DICKON,10
DAENERYS,NIGHT_KING,10
DAVOS,VARYS,10
BRONN,DICKON,11
LITTLEFINGER,WOLKAN,11
LYANNA_MORMONT,ROBETT,11
THOROS,TORMUND,11
DAVOS,THEON,12
JON,THOROS,12
DAENERYS,MELISANDRE,13
GENDRY,JORAH,13
DAENERYS,RANDYLL,14
DAVOS,JORAH,14
CERSEI,TYENE,15
GENDRY,TORMUND,15
DAENERYS,OLENNA,16
JORAH,MARWYN,16
SANSA,WOLKAN,17
BERIC,JORAH,18
JON,VARYS,18
BRAN,LITTLEFINGER,19
JORAH,THOROS,19
DAENERYS,JAIME,20
MELISANDRE,VARYS,21
JAIME,MOUNTAIN,23
DICKON,JAIME,24
HARRAG,THEON,24
JORAH,TORMUND,24
ELLARIA,YARA,25
EURON,JAIME,26
HOUND,JORAH,26
BERIC,TORMUND,27
HOUND,JON,27
JORAH,SAM,27
GENDRY,JON,30
DAVOS,MISSANDEI,31
CERSEI,DAENERYS,33
DAENERYS,DAVOS,33
JAIME,RANDYLL,33
JON,MISSANDEI,36
CERSEI,TYCHO,37
CERSEI,EURON,38
BERIC,JON,41
DAVOS,TYRION,46
HOUND,TORMUND,57
JON,JORAH,59
MARWYN,SAM,75
DAENERYS,JON,178
