Source,Target,Weight
AERYS,RHAEGAR,3
ALLISER_THORNE,OTHELL_YARWYCK,9
ARYA,JAIME,5
ARYA,PYCELLE,3
ASSASSIN,CATELYN,3
BAELOR,ILYN_PAYNE,3
BALON,THEON,84
BARRISTAN,LANCEL,3
BARRISTAN,RENLY,3
BERIC,NED,8
BRAN,WILL,3
BRANDON_STARK,NED,3
BRONN,MORD,3
BRONN,ROBIN_ARRYN,3
BRONN,SER_VARDIS,3
CATELYN,HOSTER,13
CATELYN,JOFFREY,8
CATELYN,MASHA_HEDDLE,3
CATELYN,SER_VARDIS,3
CATELYN,YOREN,3
CERSEI,ILYN_PAYNE,8
CERSEI,JON,27
CERSEI,JON_ARRYN,3
CERSEI,LANCEL,60
CERSEI,RENLY,3
CERSEI,TYWIN,211
COHOLLO,DROGO,3
DAENERYS,NED,6
DOREAH,DROGO,3
DOREAH,WINE_MERCHANT,3
GENDRY,HOT_PIE,40
GREATJON_UMBER,JAIME,3
GREATJON_UMBER,TYWIN,3
HODOR,ROBB,3
HODOR,THEON,8
HODOR,TYRION,3
HOSTER,WALDER,6
HOUND,ILYN_PAYNE,5
IRRI,JHIQUI,3
IRRI,VISERYS,3
JANOS_SLYNT,RENLY,3
JEOR,NED,3
JEOR,ROBERT,3
JOFFREY,RENLY,13
JOFFREY,TYWIN,98
JOFFREY,YOREN,3
JON,ROBERT,3
JON,WILL,3
JON_ARRYN,PYCELLE,5
JON_ARRYN,ROBIN_ARRYN,3
JORAH,RHAEGO,3
LITTLEFINGER,STANNIS,16
LORAS,ROBERT,3
LYANNA,ROBERT,3
MERYN_TRANT,NED,3
MORD,ROBIN_ARRYN,3
MORD,SER_VARDIS,3
MYCAH,NED,3
MYRCELLA,TYRION,16
NED,PYP,3
NED,WILL,3
OSHA,RICKON,34
QOTHO,RAKHARO,3
RAKHARO,VISERYS,3
RAKHARO,WINE_MERCHANT,3
RAST,TYRION,3
RENLY,ROBB,11
RICKON,ROBB,5
ROBIN_ARRYN,SER_VARDIS,3
THEON,WALDER,3
VARYS,YOREN,3
ADDAM_MARBRAND,TYWIN,2
AEGON,AERYS,2
AEGON,MAESTER_AEMON,5
AERYS,BARRISTAN,7
AERYS,CATELYN,2
AERYS,JORAH,2
AERYS,MAESTER_AEMON,2
AERYS,RENLY,2
AERYS,SANSA,4
AERYS,SEPTA_MORDANE,2
ALLISER_THORNE,MAESTER_AEMON,17
ARYA,ILLYRIO,2
ARYA,LOMMY_GREENHANDS,2
ARYA,TYRION,7
ASSASSIN,BRAN,2
ASSASSIN,ROBB,2
BAELOR,CERSEI,2
BAELOR,HOUND,2
BAELOR,JOFFREY,4
BAELOR,PYCELLE,2
BAELOR,SANSA,2
BALON,TYRION,2
BENJEN,CATELYN,2
BENJEN,CERSEI,2
BENJEN,JEOR,2
BENJEN,ROBERT,2
BERIC,ROBERT,2
BORCAS,DAREON,2
BORCAS,PYP,2
BOWEN_MARSH,DAREON,2
BOWEN_MARSH,PYP,2
BRAN,BRANDON_STARK,2
BRAN,HOUND,2
