"","Id","Label"
"274","GOATHERDS_SON","Goatherd's Son"
"275","GUYMON","Guymon"
"276","HIZDAHR","Hizdahr"
"277","HIZDAHRS_FATHER","Hizdahr's Father"
"278","INNKEEPER","Innkeeper"
"279","INNKEEPERS_DAUGHTER","Innkeeper's Daughter"
"280","JOFFREY_DWARF","Joffrey Dwarf"
"281","KARL_TANNER","Karl Tanner"
"282","KEGS","Kegs"
"283","LEAF","Leaf"
"284","LHARA","Lhara"
"285","LITTLE_SAM","Little Sam"
"286","LOLLYS","Lollys"
"287","LUTHOR","Luthor"
"288","MAESTER_AEMON","Aemon"
"289","MAG_THE_MIGHTY","Mag the Mighty"
"290","MANSERVANT","Manservant"
"291","MASTER_MIGHDAL","Master Mighdal"
"292","MEEREEN_CHAMPION","Meereen Champion"
"293","MEEREEN_SLAVE","Meereen Slave"
"294","MOLES_TOWN_MADAM","Mole's Town Madam"
"295","MOLES_TOWN_WHORE","Mole's Town Whore"
"296","MORAG","Morag"
"297","MORGAN","Morgan"
"298","MORGANS_FRIEND","Morgan's Friend"
"299","MOSSADOR","Mossador"
"300","MULLY","Mully"
"301","MUSICIAN","Musician"
"302","NIGHT_KING","Night King"
"303","OBERYN","Oberyn"
"304","OLLY","Olly"
"305","OLLYS_MOTHER","Olly's Mother"
"306","ORSON","Orson"
"307","ORYS","Orys"
"308","ORYS_BROTHER","Orys's Brother"
"309","OTHELL_YARWYCK","Othell Yarwyck"
"310","QHORIN","Qhorin"
"311","RALF","Ralf"
"312","RENLY_DWARF","Renly Dwarf"
"313","ROBB_DWARF","Robb Dwarf"
"314","SALLY","Sally"
"315","SANDOR","Sandor"
"316","SISSY","Sissy"
"317","STANNIS_DWARF","Stannis Dwarf"
"318","STYR","Styr"
"319","SYRIO_FOREL","Syrio Forel"
"320","TANSY","Tansy"
"321","TERNESIO_TERYS","Ternesio Terys"
"322","THENN_WARG","Thenn Warg"
"323","THREE_EYED_RAVEN","Three Eyed Raven"
"324","TOMMY","Tommy"
"325","TYCHO","Tycho"
"326","VANCE_CORBRAY","Vance Corbray"
"327","VIOLA","Viola"
"328","WALDA","Walda"
"329","WAYMAR_ROYCE","Waymar Royce"
"330","WHITE_WALKER","White Walker"
"331","YOHN_ROYCE","Yohn Royce"
"332","ZALA","Zala"
"333","ALLISER_THORNE","Alliser"
"334","AREO","Areo"
"335","BANKER","Banker"
"336","BLACK_HAIRED_PROSTITUTE","Strumpet"
"337","BRAND","Brand"
"338","BRIAN","Brian"
"339","CERWYN","Cerwyn"
"340","DENYS","Denys"
"341","DERRYK","Derryk"
"342","HIGH_SPARROW","High Sparrow"
"343","KARSI","Karsi"
"344","LOBODA","Loboda"
